date,team,opponent,home_away,result,home_score,visitor_score,overtime,g,goals,assists,points,shots,sog,man_up_g,man_down_g,gb,to,ct,fo_won,f_os_taken,pen,pen_time,g_min,goals_allowed,saves,w,l,t,rc,yc,clears,att.x,clear_pct.x,otg.x,defensive_g,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_man_up_g,defensive_man_down_g,defensive_gb,defensive_to,defensive_ct,defensive_fo_won,defensive_f_os_taken,defensive_pen,defensive_pen_time,defensive_g_min,defensive_goals_allowed,defensive_saves,defensive_w,defensive_l,defensive_t,defensive_rc,defensive_yc,defensive_clears,att.y,clear_pct.y,otg.y
2022-02-05,Air Force Falcons,Virginia,Away,NA,11,21,NA,1,11,5,16,31,19,0,0,30,17,6,14,35,1,30,60:00,21,14,0,0,0,0,0,14,27,0.519,NA,1,21,13,34,51,35,0,0,45,13,9,21,35,1,30,60:00,11,8,0,0,0,0,0,12,15,0.8,NA
2022-02-12,Air Force Falcons,Denver,Away,NA,9,13,NA,1,9,6,15,33,16,0,0,27,18,7,9,26,3,150,60:00,13,18,0,0,0,0,0,22,27,0.815,NA,1,13,9,22,45,31,1,0,37,15,10,17,26,0,0,60:00,9,7,0,0,0,0,0,24,24,1,NA
2022-02-19,Air Force Falcons,Colgate,Away,NA,8,11,NA,1,8,5,13,46,27,0,0,22,10,9,5,23,2,120,60:00,11,16,0,0,0,0,0,20,26,0.769,NA,1,11,7,18,39,27,1,0,32,17,6,18,23,0,0,60:00,8,19,0,0,0,0,0,16,22,0.727,NA
2022-02-27,Air Force Falcons,Jacksonville,Home,NA,9,15,NA,1,9,3,12,41,23,2,0,34,17,11,13,26,2,60,60:00,15,10,0,0,0,0,0,11,15,0.733,NA,1,15,10,25,34,25,0,0,21,18,7,13,26,3,240,60:00,9,14,0,0,0,0,0,17,21,0.81,NA
2022-02-28,Air Force Falcons,Canisius,Home,NA,9,8,1,1,9,4,13,50,23,2,0,28,15,9,12,18,2,60,61:05,8,9,0,0,0,0,0,16,19,0.842,1,1,8,4,12,36,17,1,0,19,12,5,6,18,2,120,61:05,9,14,0,0,0,0,0,17,21,0.81,NA
2022-03-05,Air Force Falcons,Marist,Home,NA,17,8,NA,1,17,10,27,47,25,0,0,34,15,12,15,28,3,150,60:00,8,8,0,0,0,0,0,16,17,0.941,NA,1,8,5,13,38,16,0,0,33,19,8,13,28,4,240,60:00,17,8,0,0,0,0,0,12,16,0.75,NA
2022-03-12,Air Force Falcons,Bryant,Away,NA,16,10,NA,1,16,6,22,42,27,3,0,30,15,8,11,29,2,60,60:00,10,21,0,0,0,0,0,29,32,0.906,NA,1,10,5,15,50,31,0,0,36,17,9,18,29,6,240,60:00,16,11,0,0,0,0,0,20,21,0.952,NA
2022-03-19,Air Force Falcons,Mercer,Away,NA,13,10,NA,1,13,7,20,50,26,0,0,26,17,10,14,25,2,60,60:00,10,11,0,0,0,0,0,19,23,0.826,NA,1,10,2,12,43,21,0,1,18,13,9,11,25,0,0,60:00,13,13,0,0,0,0,0,17,17,1,NA
2022-03-26,Air Force Falcons,Marquette,Away,NA,16,9,NA,1,16,10,26,39,26,2,0,24,18,4,14,29,3,150,60:00,9,15,0,0,0,0,0,18,24,0.75,NA,1,9,6,15,40,24,2,0,26,15,9,15,29,3,120,60:00,16,10,0,0,0,0,0,17,18,0.944,NA
2022-04-02,Air Force Falcons,Utah,Home,NA,8,10,NA,1,8,5,13,46,22,1,0,22,18,11,13,20,3,120,60:00,10,11,0,0,0,0,0,15,16,0.938,NA,1,10,7,17,35,21,1,0,22,15,8,7,20,4,210,60:00,8,14,0,0,0,0,0,19,21,0.905,NA
2022-04-09,Air Force Falcons,Detroit Mercy,Away,NA,13,4,NA,1,13,6,19,54,30,2,0,41,19,11,13,21,3,150,60:00,4,11,0,0,0,0,0,25,28,0.893,NA,1,4,2,6,26,15,1,0,34,23,6,8,21,4,150,60:00,13,17,0,0,0,0,0,18,19,0.947,NA
2022-04-16,Air Force Falcons,Cleveland St.,Home,NA,12,8,NA,1,12,5,17,45,30,1,0,31,19,11,15,23,4,210,60:00,8,13,0,0,0,0,0,18,22,0.818,NA,1,8,6,14,34,21,1,0,27,19,7,8,23,3,150,60:00,12,18,0,0,0,0,0,19,23,0.826,NA
2022-04-23,Air Force Falcons,Robert Morris,Away,NA,10,11,NA,1,10,5,15,49,26,0,0,19,11,15,7,24,2,60,60:00,11,7,0,0,0,0,0,21,21,1,NA,1,11,7,18,37,18,2,0,21,25,8,17,24,2,60,60:00,10,16,0,0,0,0,0,22,25,0.88,NA
2022-04-30,Air Force Falcons,Bellarmine,Home,NA,9,7,NA,1,9,4,13,38,18,0,0,41,14,15,13,20,3,180,60:00,7,9,0,0,0,0,0,24,24,1,NA,1,7,4,11,25,16,2,0,22,18,9,7,20,0,0,60:00,9,9,0,0,0,0,0,20,21,0.952,NA
2022-05-05,Air Force Falcons,"Robert Morris Huntsville, Ala.",Away,NA,7,9,NA,1,7,5,12,51,21,0,0,24,22,12,12,20,0,0,60:00,9,11,0,0,0,0,0,24,27,0.889,NA,1,9,5,14,23,20,0,0,14,19,9,8,20,5,210,60:00,7,14,0,0,0,0,0,20,23,0.87,NA
