Date,Team,Opponent,Home / Away,Result,Score,Visitor Score,Overtime,Goals,Assists,Points,Shots,Shots on Goal,Ground Balls,Turnovers,Caused Turnovers,Defensive Goals,Defensive Assists,Defensive Points,Defensive Shots,Defensive Shots on Goal,Defensive Groundball's,Defensive  Turnovers,Defensive  Caused Turnovers,Goals Allowed,Saves,Defensive Goals Allowed,Defensive Saves
2023-02-04,Air Force,Ohio St.,Away,L,7,15,NA,7,3,10,26,15,23,10,9,15,8,23,36,22,35,17,6,15,7,7,8
2023-02-11,Air Force,Denver,Home,W,12,10,NA,12,5,17,36,18,24,13,6,10,8,18,35,27,24,14,4,10,17,12,6
2023-02-18,Air Force,Colgate,Home,W,11,10,NA,11,5,16,40,23,24,18,10,10,4,14,38,27,34,18,9,10,17,11,12
2023-02-24,Air Force,Stony Brook,Away,L,8,15,NA,8,4,12,28,17,30,20,5,15,10,25,42,24,35,12,6,15,9,8,9
2023-03-04,Air Force,Mercer,Away,W,14,8,NA,14,7,21,44,23,25,14,7,8,4,12,50,18,27,13,6,8,10,14,9
2023-03-11,Air Force,Bryant,Home,L,11,6,NA,11,8,19,37,24,29,21,10,6,3,9,31,18,29,20,10,6,12,11,13
2023-03-18,Air Force,Queens (NC),Away,W,18,6,NA,18,7,25,39,25,38,20,10,6,3,9,21,11,34,28,11,6,5,18,7
2023-03-20,Air Force,Duke,Away,L,6,18,NA,6,3,9,35,12,21,22,4,18,10,28,52,31,43,16,8,18,13,6,6
2023-03-25,Air Force,Lindenwood,Home,L,15,6,NA,15,10,25,41,29,22,22,10,6,2,8,33,18,28,22,11,6,12,15,14
2023-03-29,Air Force,Utah,Home,L,11,18,NA,11,6,17,49,18,28,13,9,18,7,25,54,33,39,17,8,18,15,11,7
2023-04-01,Air Force,Cleveland St.,Away,W,12,9,NA,12,6,18,31,20,37,19,6,9,6,15,34,17,27,12,5,9,8,12,8
2023-04-08,Air Force,Bellarmine,Away,W,10,11,NA,10,6,16,44,24,24,10,4,11,7,18,38,25,19,13,6,11,14,10,14
2023-04-15,Air Force,Detroit Mercy,Home,L,22,7,NA,22,10,32,58,38,37,12,10,7,4,11,30,18,22,17,4,7,11,22,16
2023-04-22,Air Force,Jacksonville,Away,L,15,11,NA,15,7,22,32,27,26,20,10,11,5,16,29,22,36,23,13,11,11,15,12
2023-04-29,Air Force,Robert Morris,Home,L,13,5,NA,13,7,20,53,28,31,12,15,5,2,7,23,13,25,21,9,5,8,13,15
2023-05-05,Air Force,"Robert Morris Moon Township, Pa.",Away,W,12,4,NA,12,6,18,46,27,19,14,3,4,1,5,34,23,25,13,6,4,19,12,15
2023-05-07,Air Force,"Utah Moon Township, Pa.",Away,L,9,11,NA,9,4,13,44,18,23,19,9,11,3,14,42,22,33,20,10,11,11,9,9
2023-02-11,Army West Point,Massachusetts,Away,L,8,10,NA,8,4,12,46,27,27,19,11,10,4,14,30,19,24,19,9,10,9,8,19
2023-02-18,Army West Point,Rutgers,Home,W,14,13,NA,14,6,20,40,25,31,15,7,13,3,16,35,24,27,13,2,13,11,14,11
2023-02-21,Army West Point,Wagner,Home,L,20,6,NA,20,12,32,51,37,50,19,9,6,4,10,27,13,20,22,9,6,7,20,17
2023-02-25,Army West Point,Mercer,Away,W,16,5,NA,16,12,28,47,31,33,11,5,5,3,8,24,13,25,15,6,5,8,16,15
2023-03-05,Army West Point,Holy Cross,Away,W,13,6,NA,13,9,22,55,31,35,18,10,6,3,9,30,14,19,23,5,6,8,13,18
2023-03-10,Army West Point,Lafayette,Home,L,17,9,NA,17,5,22,43,26,31,14,9,9,3,12,38,22,28,16,5,9,13,17,9
2023-03-18,Army West Point,Lehigh,Away,L,12,10,NA,12,5,17,37,25,43,13,10,10,6,16,26,16,27,19,9,10,6,12,13
2023-03-25,Army West Point,Loyola Maryland,Home,L,10,5,NA,10,8,18,39,22,38,21,11,5,3,8,32,16,27,19,12,5,11,10,12
2023-04-01,Army West Point,Bucknell,Home,L,12,7,NA,12,7,19,43,27,39,19,7,7,4,11,45,19,29,17,8,7,12,12,15
2023-04-08,Army West Point,Colgate,Away,W,10,9,NA,10,7,17,45,24,28,12,7,9,0,9,31,19,25,13,4,9,10,10,14
2023-04-15,Army West Point,Cornell,Home,L,10,11,NA,10,4,14,44,22,26,11,8,11,9,20,35,23,20,13,5,11,12,10,12
2023-04-22,Army West Point,Navy,Away,W,11,6,NA,11,4,15,39,26,38,14,7,6,4,10,34,16,26,14,7,6,10,11,15
2023-04-28,Army West Point,Boston U.,Home,L,11,12,NA,11,6,17,34,21,41,19,8,12,7,19,50,29,33,17,12,12,17,11,10
2023-05-05,Army West Point,"Lehigh Boston, Mass.",Away,L,19,13,NA,19,6,25,42,23,39,19,7,13,7,20,43,27,35,16,11,13,14,19,4
2023-05-07,Army West Point,"Loyola Maryland Boston, Mass.",Away,W,10,8,NA,10,7,17,37,21,39,20,6,8,5,13,43,22,32,8,15,8,14,10,11
2023-05-13,Army West Point,Maryland,Away,L,16,15,NA,16,8,24,32,21,36,17,2,15,8,23,47,31,32,7,7,15,16,16,5
2023-05-21,Army West Point,"Penn St. Annapolis, Md.",Away,L,9,10,NA,9,2,11,43,20,39,17,8,10,5,15,27,18,37,18,6,10,8,9,11
2023-02-04,Bellarmine,Duke,Away,L,7,19,NA,7,3,10,29,17,27,27,6,19,10,29,57,41,40,17,12,19,22,7,10
2023-02-11,Bellarmine,St. Bonaventure,Home,W,14,10,NA,14,6,20,51,25,35,15,17,10,5,15,30,16,30,21,8,10,6,14,11
2023-02-18,Bellarmine,Canisius,Away,W,14,4,NA,14,5,19,39,24,28,12,6,4,3,7,27,13,28,17,4,4,9,14,10
2023-02-26,Bellarmine,Marist,Away,L,13,10,NA,13,9,22,47,27,37,13,8,10,6,16,43,20,36,12,6,10,10,13,14
2023-03-04,Bellarmine,VMI,Home,L,17,6,NA,17,9,26,50,30,31,11,10,6,1,7,33,18,20,19,5,6,12,17,13
2023-03-11,Bellarmine,Marquette,Away,L,11,10,NA,11,9,20,34,20,25,17,7,10,3,13,34,17,25,17,7,10,7,11,9
2023-03-18,Bellarmine,Utah,Away,L,8,15,NA,8,6,14,41,22,32,17,6,15,7,22,55,28,41,15,9,15,13,8,14
2023-03-25,Bellarmine,Queens (NC),Home,W,24,12,NA,24,13,37,53,38,34,21,10,12,7,19,32,22,28,25,11,12,10,24,14
2023-03-29,Bellarmine,Mercer,Home,L,12,15,NA,12,9,21,42,26,21,9,6,15,10,25,44,27,31,12,5,15,12,12,14
2023-04-01,Bellarmine,Lindenwood,Away,W,18,7,NA,18,9,27,48,28,46,20,10,7,3,10,26,14,31,24,7,7,7,18,10
2023-04-08,Bellarmine,Air Force,Home,W,11,10,NA,11,7,18,38,25,19,13,6,10,6,16,44,24,24,10,4,10,14,11,14
2023-04-12,Bellarmine,Robert Morris,Away,W,13,21,NA,13,6,19,37,21,21,13,4,21,16,37,59,41,40,11,8,21,20,13,8
2023-04-16,Bellarmine,Cleveland St.,Away,W,13,8,NA,13,6,19,38,23,34,13,9,8,6,14,41,25,29,19,5,8,17,13,10
2023-04-22,Bellarmine,Detroit Mercy,Away,W,18,3,NA,18,11,29,42,32,38,13,6,3,2,5,27,10,32,17,8,3,7,18,14
2023-04-29,Bellarmine,Jacksonville,Home,L,12,13,NA,12,7,19,39,21,26,18,5,13,8,21,43,25,29,16,9,13,12,12,9
2023-05-02,Bellarmine,"Mercer Moon Township, PA",Away,L,14,13,NA,14,7,21,40,21,31,13,8,13,7,20,40,25,30,14,10,13,12,14,7
2023-05-05,Bellarmine,"Utah Moon Township, Pa.",Away,W,14,17,NA,14,6,20,33,23,21,18,5,17,9,26,54,30,40,11,6,17,13,14,9
2023-02-11,Binghamton,Marist,Away,L,18,11,NA,18,10,28,48,28,45,18,11,11,5,16,42,25,32,15,12,11,14,18,10
2023-02-18,Binghamton,St. Bonaventure,Away,L,12,11,1,12,4,16,42,23,33,14,10,11,5,16,40,28,31,18,5,11,17,12,11
2023-02-25,Binghamton,Lafayette,Home,W,4,10,NA,4,3,7,35,14,24,19,5,10,8,18,35,26,36,14,11,10,16,4,10
2023-03-04,Binghamton,St. John's (NY),Home,W,13,12,NA,13,8,21,38,26,31,18,5,12,8,20,42,22,30,14,10,12,10,13,13
2023-03-07,Binghamton,Lehigh,Away,W,13,14,NA,13,7,20,37,27,30,15,10,14,4,18,35,26,48,20,11,14,12,13,14
