date,team,opponent,home_away,result,home_score,visitor_score,overtime,goals,assists,points,shots,sog,gb,to,ct,fo_won,f_os_taken,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_gb,defensive_to,defensive_ct,defensive_fo_won,defensive_f_os_taken,goals_allowed,saves,defensive_goals_allowed,defensive_saves
2025-02-01,Air Force,Lafayette,Away,L,8,11,NA,8,7,15,28,19,31,22,12,12,23,11,5,16,31,21,36,17,10,11,23,11,10,8,11
2025-02-08,Air Force,Denver,Home,W,8,14,NA,8,5,13,40,21,32,21,15,11,25,14,9,23,32,22,28,24,11,14,25,14,8,8,13
2025-02-15,Air Force,Ohio St.,Away,W,11,17,NA,11,8,19,33,21,28,17,8,17,32,17,13,30,36,27,30,14,7,15,32,17,10,11,10
2025-02-22,Air Force,Boston U.,Away,L,7,15,NA,7,3,10,32,19,26,22,8,12,25,15,10,25,40,26,43,18,12,13,25,15,11,7,12
2025-02-28,Air Force,Quinnipiac,Home,L,21,8,NA,21,17,38,50,31,36,10,9,14,32,8,5,13,32,18,19,17,3,18,32,8,10,21,10
2025-03-02,Air Force,Marist,Home,L,23,8,NA,23,12,35,50,32,36,11,10,15,34,8,3,11,38,20,24,14,4,19,34,8,12,23,9
2025-03-08,Air Force,Duke,Away,W,11,16,NA,11,4,15,31,17,31,24,6,13,31,16,10,26,40,33,38,16,13,18,31,16,17,11,6
2025-03-22,Air Force,"Marquette Chicago, IL",Away,W,8,9,NA,8,4,12,39,23,18,15,11,10,21,9,6,15,44,16,28,19,8,11,21,9,7,8,15
2025-03-29,Air Force,Jacksonville,Home,L,11,15,NA,11,5,16,29,20,30,16,5,11,30,15,11,26,44,26,33,10,13,19,30,15,11,11,9
2025-04-05,Air Force,Bellarmine,Home,L,18,6,NA,18,11,29,51,28,32,16,1,17,25,6,2,8,28,18,24,12,7,8,25,6,12,18,10
2025-02-08,Army West Point,Massachusetts,Away,W,16,9,NA,16,12,28,55,34,30,15,12,16,29,9,6,15,31,22,26,24,6,13,29,9,13,16,18
2025-02-15,Army West Point,Rutgers,Home,W,9,3,NA,9,8,17,47,25,27,16,8,3,15,3,2,5,33,14,20,20,7,12,15,3,11,9,16
2025-02-19,Army West Point,Yale,Away,W,14,3,NA,14,6,20,42,26,33,17,11,12,21,3,1,4,33,19,25,18,6,9,21,3,16,14,12
2025-02-22,Army West Point,"Mercer Naples, Florida",Away,W,17,4,NA,17,11,28,66,46,42,19,11,18,24,4,1,5,24,16,24,27,7,6,24,4,12,17,29
2025-03-01,Army West Point,Lafayette,Home,L,15,5,NA,15,11,26,45,30,41,18,17,13,24,5,3,8,26,17,22,21,10,11,24,5,12,15,15
2025-03-08,Army West Point,Holy Cross,Away,W,17,4,NA,17,15,32,61,28,41,16,10,15,25,4,4,8,36,20,30,21,9,10,25,4,16,17,11
2025-03-15,Army West Point,Lehigh,Away,W,13,4,NA,13,7,20,49,25,33,19,11,4,21,4,2,6,27,15,34,26,11,17,21,4,11,13,12
2025-03-22,Army West Point,Boston U.,Home,W,9,10,1,9,5,14,57,31,34,13,7,14,23,10,7,17,44,28,31,17,7,9,23,10,18,9,22
2025-03-29,Army West Point,North Carolina,Home,W,13,12,NA,13,10,23,38,21,29,15,7,7,26,12,4,16,36,22,36,17,8,19,26,12,10,13,8
2025-04-05,Army West Point,Colgate,Away,W,13,7,NA,13,8,21,47,25,31,18,11,12,22,7,4,11,37,20,33,21,8,10,22,7,13,13,12
2025-02-01,Bellarmine,Duke,Away,L,7,26,NA,7,3,10,34,20,22,22,4,16,36,26,15,41,53,36,42,14,12,20,36,26,10,7,13
2025-02-08,Bellarmine,Mercyhurst,Home,W,21,11,NA,21,12,33,50,34,32,22,6,27,34,11,9,20,38,20,9,18,8,7,34,11,9,21,13
2025-02-11,Bellarmine,Ohio St.,Away,L,4,16,NA,4,1,5,18,11,26,24,9,6,21,16,10,26,58,31,45,19,18,15,21,16,15,4,7
2025-02-15,Bellarmine,Canisius,Away,W,13,8,NA,13,5,18,36,29,36,20,8,11,25,8,5,13,34,18,33,23,9,14,25,8,10,13,16
2025-02-18,Bellarmine,Cleveland St.,Away,W,10,16,NA,10,7,17,31,22,35,19,7,11,30,16,10,26,44,29,32,18,10,19,30,16,13,10,12
2025-02-22,Bellarmine,Detroit Mercy,Home,L,16,4,NA,16,7,23,46,29,27,23,8,15,23,4,3,7,35,15,16,19,11,8,23,4,11,16,13
2025-03-01,Bellarmine,LIU,Away,L,9,15,NA,9,6,15,39,20,29,20,7,14,27,15,10,25,51,33,36,11,13,13,27,15,18,9,11
2025-03-04,Bellarmine,Marquette,Away,W,11,19,NA,11,7,18,28,18,22,20,6,12,33,19,14,33,50,37,37,16,13,21,33,19,18,11,7
2025-03-08,Bellarmine,Robert Morris,Home,W,13,10,NA,13,7,20,36,24,23,19,7,14,25,10,6,16,44,22,23,17,2,11,25,10,12,13,11
2025-03-11,Bellarmine,Hampton,Home,L,19,6,NA,19,11,30,46,32,25,16,10,17,28,6,3,9,34,20,24,22,9,11,28,6,14,19,13
2025-03-15,Bellarmine,St. Bonaventure,Home,W,9,5,NA,9,8,17,32,23,25,18,7,8,17,5,3,8,34,21,29,21,7,9,17,5,16,9,14
2025-03-29,Bellarmine,Utah,Home,W,9,11,NA,9,3,12,40,21,23,20,8,8,24,11,7,18,56,33,34,13,11,16,24,11,22,9,12
2025-04-05,Bellarmine,Air Force,Away,L,6,18,NA,6,2,8,28,18,24,12,7,8,25,18,11,29,51,28,32,16,1,17,25,18,10,6,12
2022-03-26,Binghamton,UMBC,Home,L,12,8,NA,12,4,16,38,22,25,18,8,6,24,8,6,14,27,18,21,19,6,18,24,8,10,12,10
2025-02-10,Binghamton,Lafayette,Away,L,9,16,NA,9,4,13,33,18,27,15,8,9,29,16,7,23,36,29,39,18,7,20,29,16,13,9,9
2025-02-22,Binghamton,Marist,Away,L,9,10,NA,9,5,14,30,15,22,19,0,10,22,10,6,16,46,20,31,11,3,12,22,10,10,9,6
2025-03-01,Binghamton,Hofstra,Away,L,5,15,NA,5,3,8,29,18,25,17,8,12,23,15,9,24,45,24,31,19,8,11,23,15,9,5,13
2025-03-05,Binghamton,Siena,Home,W,6,10,NA,6,2,8,39,17,17,14,6,6,20,10,3,13,43,25,26,15,8,14,20,10,15,6,11
2025-03-08,Binghamton,Stony Brook,Away,L,12,10,NA,12,7,19,44,30,39,18,6,15,24,10,6,16,40,19,29,16,4,9,24,10,9,12,18
2025-03-14,Binghamton,UMass Lowell,Away,L,14,12,NA,14,3,17,45,23,30,12,5,17,30,12,7,19,30,22,24,15,2,13,30,12,10,14,9
2025-03-22,Binghamton,NJIT,Home,W,9,4,NA,9,6,15,46,24,36,24,13,13,17,4,1,5,20,9,24,32,18,4,17,4,5,9,15
2025-03-25,Binghamton,St. Bonaventure,Away,L,6,5,1,6,1,7,50,26,27,16,9,5,15,5,4,9,36,22,28,20,9,10,15,5,17,6,20
2025-03-29,Binghamton,Harvard,Away,W,12,17,NA,12,7,19,43,26,38,23,10,12,32,17,6,23,52,36,41,18,14,20,32,17,19,12,14
2025-04-05,Binghamton,UAlbany,Home,W,9,11,NA,9,6,15,44,19,22,13,9,11,23,11,4,15,36,21,21,18,7,12,23,11,10,9,10
2025-02-08,Boston U.,Siena,Away,L,9,7,NA,9,5,14,43,23,32,23,13,7,20,7,5,12,38,19,30,25,14,13,20,7,12,9,14
2025-02-14,Boston U.,Monmouth,Home,L,15,6,NA,15,12,27,49,30,32,15,12,14,24,6,3,9,21,14,23,21,5,10,24,6,8,15,15
2025-02-18,Boston U.,Brown,Home,W,8,7,NA,8,6,14,41,26,33,18,15,7,18,7,2,9,26,17,21,24,7,11,18,7,10,8,18
2025-02-22,Boston U.,Air Force,Home,L,15,7,NA,15,10,25,40,26,43,18,12,13,25,7,3,10,32,19,26,22,8,12,25,7,12,15,11
2025-03-01,Boston U.,Navy,Away,L,9,13,NA,9,6,15,41,16,43,22,5,15,25,13,9,22,43,29,40,14,11,10,25,13,16,9,7
2025-03-08,Boston U.,Bucknell,Away,L,21,12,NA,21,15,36,51,33,43,15,7,18,34,12,5,17,39,25,29,14,8,16,34,12,13,21,12
2025-03-15,Boston U.,Loyola Maryland,Home,L,13,7,NA,13,7,20,45,24,36,22,10,13,24,7,3,10,33,18,37,15,10,11,24,7,11,13,11
2025-03-22,Boston U.,Army West Point,Away,W,10,9,1,10,7,17,44,28,31,17,7,9,23,9,5,14,57,31,34,13,7,14,23,9,22,10,18
2025-03-25,Boston U.,Harvard,Away,L,7,16,NA,7,4,11,38,15,31,24,8,15,26,16,7,23,45,25,40,17,15,11,26,16,9,7,8
2025-03-29,Boston U.,Holy Cross,Home,L,16,4,NA,16,10,26,49,28,38,15,7,20,23,4,1,5,32,18,28,12,8,3,23,4,14,16,12
2025-04-05,Boston U.,Duke,Home,W,7,12,NA,7,6,13,28,17,34,17,9,7,22,12,8,20,39,20,37,22,7,15,22,12,8,7,10
2025-02-15,Brown,Fairfield,Home,W,5,11,NA,5,2,7,34,18,30,19,8,9,20,11,4,15,42,21,28,21,6,11,20,11,10,5,13
2025-02-18,Brown,Boston U.,Away,W,7,8,NA,7,2,9,26,17,21,24,7,11,18,8,6,14,41,26,33,18,15,7,18,8,18,7,10
2025-02-22,Brown,Providence,Home,W,7,6,NA,7,5,12,36,22,16,13,4,8,16,6,5,11,33,25,21,10,2,8,16,6,19,7,15
2025-03-01,Brown,Georgetown,Home,W,8,13,NA,8,5,13,44,25,30,14,8,14,24,13,5,18,36,27,31,16,7,10,24,13,14,8,17
2025-03-04,Brown,Bryant,Away,W,10,8,NA,10,6,16,29,19,29,22,9,9,22,8,5,13,42,25,33,21,10,13,22,8,17,10,9
2025-03-15,Brown,Penn,Away,W,8,9,NA,8,3,11,38,23,22,14,6,15,21,9,5,14,31,18,21,13,11,6,21,9,9,8,15
2025-03-17,Brown,Villanova,Away,L,9,16,NA,9,8,17,47,28,29,15,11,10,28,16,4,20,39,27,36,22,8,18,28,16,11,9,19
2025-03-22,Brown,Massachusetts,Away,L,8,7,NA,8,4,12,35,24,32,16,11,10,18,7,5,12,28,20,28,18,6,8,18,7,13,8,16
2025-03-29,Brown,Yale,Away,W,12,15,NA,12,4,16,47,24,26,15,10,14,29,15,8,23,52,26,39,17,6,15,29,15,11,12,12
2025-04-05,Brown,Cornell,Home,W,9,13,NA,9,5,14,33,21,29,14,11,10,25,13,6,19,40,21,27,17,8,15,25,13,8,9,12
2025-02-08,Bryant,Providence,Home,L,12,15,NA,12,7,19,45,27,39,12,9,16,30,15,11,26,35,27,31,14,10,14,30,15,12,12,15
2025-02-15,Bryant,Merrimack,Away,W,19,4,NA,19,12,31,46,30,17,19,10,15,25,4,3,7,32,18,14,22,13,10,25,4,14,19,11
2025-02-22,Bryant,Quinnipiac,Away,L,18,10,NA,18,12,30,48,33,33,18,11,16,32,10,1,11,34,20,25,21,9,16,32,10,10,18,15
2025-03-01,Bryant,Ohio St.,Away,W,5,7,NA,5,1,6,32,12,35,25,13,5,13,7,5,12,37,22,29,22,11,8,13,7,15,5,7
