Season,Team,Jersey Number,Full Name,Roster Name,First Name,Last Name,Year,Position,Games Played,Games Started,g,gs_2,Goals,Assists,Points,Shots,Shooting Percentage,Shots on Goal,Shots on Goal Percentage,Game Winning Goals,Powerplay Goals,Penalty Kill Goals,Ground Balls,Turnovers,Caused Turnovers,Faceoffs Won,Faceoffs Taken,Faceoff Percentage,pen,Penalties,Goalie Games Played,Goalie Games Started,Goalie Minutes,Goals Allowed,GAA,Saves,Save Percentage,rc,yc,clears,att,clear_pct,otg,NCAA id
2023,Air Force Falcons,25,James Chastain,"Chastain, James",James,Chastain,Jr,D,14,14,14,14,0,0,0,3,0,0,0,0,0,0,16,6,9,0,0,0,3,180,0,0,,0,0,0,0,0,0,0,0,0,0,2473183
2023,Air Force Falcons,40,Ethan Grandolfo,"Grandolfo, Ethan",Ethan,Grandolfo,Sr,ATT,14,12,14,12,27,10,37,77,0.351,48,0.623,2,3,0,16,17,6,0,0,0,2,60,0,0,,0,0,0,0,0,0,0,0,0,0,2319161
2023,Air Force Falcons,33,Jason Rose,"Rose, Jason",Jason,Rose,Sr,GK,14,14,14,14,0,0,0,1,0,1,1,0,0,0,37,10,12,0,0,0,1,30,14,14,758:42,137,10.834,147,0.518,0,0,0,0,0,0,2319159
2023,Air Force Falcons,17,Chris Bardak,"Bardak, Chris",Chris,Bardak,Jr,D,14,2,14,2,1,4,5,11,0.091,5,0.455,1,0,0,44,2,22,17,37,0.459,10,420,0,0,,0,0,0,0,0,0,0,0,0,0,2473182
2023,Air Force Falcons,24,Gavin Peene,"Peene, Gavin",Gavin,Peene,Sr,M,14,9,14,9,12,4,16,25,0.48,18,0.72,0,0,0,5,7,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2319155
2023,Air Force Falcons,56,Wes Peene,"Peene, Wes",Wes,Peene,So,M,14,13,14,13,15,8,23,47,0.319,24,0.511,0,1,0,12,15,0,0,0,0,2,60,0,0,,0,0,0,0,0,0,0,0,0,0,2663465
2023,Air Force Falcons,44,Daniel Enoch,"Enoch, Daniel",Daniel,Enoch,So,D,14,13,14,13,0,1,1,0,0,0,0,0,0,0,15,5,7,0,0,0,5,240,0,0,,0,0,0,0,0,0,0,0,0,0,2663460
2023,Air Force Falcons,12,Tommy Hellman,"Hellman, Tommy",Tommy,Hellman,Sr,M,13,1,13,1,4,0,4,10,0.4,8,0.8,0,1,0,30,13,7,0,0,0,1,60,0,0,,0,0,0,0,0,0,0,0,0,0,2319136
2023,Air Force Falcons,5,Aidan Tolen,"Tolen, Aidan",Aidan,Tolen,Jr,M,13,9,13,9,22,5,27,52,0.423,32,0.615,0,2,0,14,17,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2473179
2023,Air Force Falcons,14,Luke Vrsansky,"Vrsansky, Luke",Luke,Vrsansky,Fr,M,13,0,13,0,5,2,7,18,0.278,9,0.5,0,0,0,3,5,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2810581
2023,Air Force Falcons,45,Brandon Dodd,"Dodd, Brandon",Brandon,Dodd,Sr,ATT,13,13,13,13,37,27,64,100,0.37,62,0.62,2,2,0,18,28,5,0,0,0,1,30,0,0,,0,0,0,0,0,0,0,0,0,0,2319163
2023,Air Force Falcons,42,Hunter Panzik,"Panzik, Hunter",Hunter,Panzik,Fr,M,13,0,13,0,3,1,4,9,0.333,4,0.444,0,0,0,3,6,1,0,0,0,1,60,0,0,,0,0,0,0,0,0,0,0,0,0,2810589
2023,Air Force Falcons,10,Josh Yago,"Yago, Josh",Josh,Yago,So,ATT,12,9,12,9,15,10,25,69,0.217,32,0.464,2,0,0,15,21,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2663449
2023,Air Force Falcons,15,Sam Ewing,"Ewing, Sam",Sam,Ewing,Jr,D,12,0,12,0,0,1,1,2,0,0,0,0,0,0,13,3,3,0,0,0,1,60,0,0,,0,0,0,0,0,0,0,0,0,0,2473181
2023,Air Force Falcons,27,Mitchell Gruenewald,"Gruenewald, Mitchell",Mitchell,Gruenewald,Sr,D,11,3,11,3,1,0,1,2,0.5,1,0.5,0,0,0,17,2,4,0,0,0,1,60,0,0,,0,0,0,0,0,0,0,0,0,0,2319156
2023,Air Force Falcons,26,Quinn Richards,"Richards, Quinn",Quinn,Richards,Jr,GK,11,0,11,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,10,0,75:26,10,7.954,14,0.583,0,0,0,0,0,0,2473189
2023,Air Force Falcons,16,Jake Knapp,"Knapp, Jake",Jake,Knapp,So,FO,11,0,11,0,1,1,2,4,0.25,3,0.75,0,0,0,23,3,0,46,111,0.414,1,60,0,0,,0,0,0,0,0,0,0,0,0,0,2663459
2023,Air Force Falcons,1,Caelen Driggs,"Driggs, Caelen",Caelen,Driggs,Fr,ATT,11,8,11,8,4,2,6,33,0.121,19,0.576,0,1,0,5,7,4,0,0,0,1,60,0,0,,0,0,0,0,0,0,0,0,0,0,2810577
2023,Air Force Falcons,29,Braden Gaab,"Gaab, Braden",Braden,Gaab,Jr,FO,11,0,11,0,1,0,1,3,0.333,1,0.333,0,0,0,16,3,0,37,95,0.389,1,30,0,0,,0,0,0,0,0,0,0,0,0,0,2473184
2023,Air Force Falcons,30,Blake Boyd,"Boyd, Blake",Blake,Boyd,Fr,FO,10,0,10,0,0,0,0,0,0,0,0,0,0,0,7,1,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2810584
2023,Air Force Falcons,34,Matt Rosato,"Rosato, Matt",Matt,Rosato,Fr,D,10,6,10,6,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,5,270,0,0,,0,0,0,0,0,0,0,0,0,0,2810585
2023,Air Force Falcons,11,Dylan Frankhouser,"Frankhouser, Dylan",Dylan,Frankhouser,Sr,FO,10,1,10,1,0,0,0,0,0,0,0,0,0,0,10,2,0,25,76,0.329,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2319154
2023,Air Force Falcons,8,Alexander Stepney,"Stepney, Alexander",Alexander,Stepney,So,M,9,2,9,2,1,1,2,10,0.1,4,0.4,0,1,0,3,4,1,1,1,1,1,30,0,0,,0,0,0,0,0,0,0,0,0,0,2663450
2023,Air Force Falcons,0,Shad Bruce,"Bruce, Shad",Shad,Bruce,Sr,SSDM,9,0,9,0,6,3,9,8,0.75,7,0.875,0,1,0,10,2,3,0,0,0,2,90,0,0,,0,0,0,0,0,0,0,0,0,0,2319132
2023,Air Force Falcons,32,Maxwell Kane,"Kane, Maxwell",Maxwell,Kane,Sr,M,8,2,8,2,1,2,3,8,0.125,5,0.625,0,0,0,5,3,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2319138
2023,Air Force Falcons,6,Matt Rubino,"Rubino, Matt",Matt,Rubino,So,ATT,8,3,8,3,6,0,6,14,0.429,10,0.714,1,1,0,4,3,0,0,0,0,1,30,0,0,,0,0,0,0,0,0,0,0,0,0,2663464
2023,Air Force Falcons,9,Josh Tauss,"Tauss, Josh",Josh,Tauss,Sr,M,7,0,7,0,5,0,5,11,0.455,7,0.636,0,0,0,3,3,0,0,0,0,1,30,0,0,,0,0,0,0,0,0,0,0,0,0,2518908
2023,Air Force Falcons,4,Cooper Rich,"Rich, Cooper",Cooper,Rich,Jr,M,7,0,7,0,1,2,3,7,0.143,4,0.571,0,0,0,4,3,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2473188
2023,Air Force Falcons,13,Cole Rassas,"Rassas, Cole",Cole,Rassas,Fr,M,6,0,6,0,1,0,1,4,0.25,2,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2810579
2023,Air Force Falcons,28,Cole Cunningham,"Cunningham, Cole",Cole,Cunningham,Fr,D,6,0,6,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2810544
2023,Air Force Falcons,21,Cody Gross,"Gross, Cody",Cody,Gross,So,D,6,5,6,5,0,0,0,0,0,0,0,0,0,0,10,1,4,0,0,0,2,60,0,0,,0,0,0,0,0,0,0,0,0,0,2663461
2023,Air Force Falcons,41,Connor Albertson,"Albertson, Connor",Connor,Albertson,Fr,D,5,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2810588
2023,Air Force Falcons,31,Kyle Griffith,"Griffith, Kyle",Kyle,Griffith,So,ATT,5,1,5,1,2,1,3,5,0.4,3,0.6,1,1,0,3,3,0,0,0,0,1,60,0,0,,0,0,0,0,0,0,0,0,0,0,2663453
2023,Air Force Falcons,36,Daniel Haimes,"Haimes, Daniel",Daniel,Haimes,So,FO,4,0,4,0,0,1,1,0,0,0,0,0,0,0,10,2,2,20,43,0.465,1,30,0,0,,0,0,0,0,0,0,0,0,0,0,2663455
2023,Air Force Falcons,22,Ollie Lovell,"Lovell, Ollie",Ollie,Lovell,So,SSDM,4,0,4,0,0,0,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2663452
2023,Air Force Falcons,20,Joey Matheson,"Matheson, Joey",Joey,Matheson,Sr,M,4,0,4,0,0,0,0,3,0,1,0.333,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2319166
2023,Air Force Falcons,18,Ethan Howell,"Howell, Ethan",Ethan,Howell,So,ATT,4,0,4,0,1,1,2,3,0.333,2,0.667,0,0,0,0,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2663463
2023,Air Force Falcons,7,Will Stax,"Stax, Will",Will,Stax,Jr,SSDM,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2473190
2023,Air Force Falcons,23,Jack Stewart,"Stewart, Jack",Jack,Stewart,Jr,SSDM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2518907
2023,Air Force Falcons,52,Mason Meagher,"Meagher, Mason",Mason,Meagher,Fr,D,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2810595
2023,Air Force Falcons,54,Nolan Parlette,"Parlette, Nolan",Nolan,Parlette,Fr,GK,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5:45,3,31.304,0,0,0,0,0,0,0,0,2810597
2023,Air Force Falcons,19,Samuel Gee,"Gee, Samuel",Samuel,Gee,So,ATT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2663456
2023,Air Force Falcons,47,Jim Breen,"Breen, Jim",Jim,Breen,Fr,D,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2810592
2023,Air Force Falcons,43,Ryan Stadelmaier,"Stadelmaier, Ryan",Ryan,Stadelmaier,Fr,ATT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2810590
2023,Army West Point Black Knights,41,Gunnar Fellows,"Fellows, Gunnar",Gunnar,Fellows,Fr,ATT,12,12,12,12,13,4,17,48,0.271,28,0.583,1,3,1,15,10,2,0,0,0,4,150,0,0,,0,0,0,0,0,0,0,0,0,0,2823834
2023,Army West Point Black Knights,33,Christian Fournier,"Fournier, Christian",Christian,Fournier,So,LSM,12,0,12,0,0,1,1,8,0,5,0.625,0,0,0,32,7,16,0,0,0,2,60,0,0,,0,0,0,0,0,0,0,0,0,0,2664459
2023,Army West Point Black Knights,79,Ryan Nixon,"Nixon, Ryan",Ryan,Nixon,So,M,12,0,12,0,0,0,0,2,0,1,0.5,0,0,0,14,2,8,0,0,0,2,60,0,0,,0,0,0,0,0,0,0,0,0,0,2664451
2023,Army West Point Black Knights,20,AJ Pilate,"Pilate, AJ",AJ,Pilate,So,D,12,12,12,12,0,1,1,1,0,1,1,0,0,0,25,6,15,0,0,0,3,120,0,0,,0,0,0,0,0,0,0,0,0,0,2664449
2023,Army West Point Black Knights,10,Will Coletti,"Coletti, Will",Will,Coletti,So,FO,12,0,12,0,5,3,8,12,0.417,9,0.75,2,0,0,112,5,1,167,272,0.614,3,90,0,0,,0,0,0,0,0,0,0,0,0,0,2664445
2023,Army West Point Black Knights,0,Bailey O'Connor,"O'Connor, Bailey",Bailey,O'Connor,Jr,M,12,8,12,8,13,2,15,34,0.382,23,0.676,1,0,0,4,7,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2478854
2023,Army West Point Black Knights,40,Eamon Murphy,"Murphy, Eamon",Eamon,Murphy,Jr,DM,12,0,12,0,1,0,1,5,0.2,1,0.2,0,0,0,18,3,4,0,0,0,6,210,0,0,,0,0,0,0,0,0,0,0,0,0,2478850
2023,Army West Point Black Knights,36,Ned Lynch,"Lynch, Ned",Ned,Lynch,Jr,D,12,11,12,11,0,0,0,0,0,0,0,0,0,0,11,2,9,0,0,0,1,60,0,0,,0,0,0,0,0,0,0,0,0,0,2478839
2023,Army West Point Black Knights,90,Jacob Morin,"Morin, Jacob",Jacob,Morin,Jr,M,12,12,12,12,26,4,30,82,0.317,52,0.634,2,6,0,7,8,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2333344
2023,Army West Point Black Knights,28,Paul Johnson,"Johnson, Paul",Paul,Johnson,Jr,ATT,12,12,12,12,20,12,32,64,0.312,42,0.656,1,0,0,18,19,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2333342
2023,Army West Point Black Knights,47,Andrew Kelly,"Kelly, Andrew",Andrew,Kelly,Sr,M,12,1,12,1,4,0,4,10,0.4,7,0.7,0,0,0,3,5,1,0,0,0,1,30,0,0,,0,0,0,0,0,0,0,0,0,0,2333231
2023,Army West Point Black Knights,24,Reese Burek,"Burek, Reese",Reese,Burek,Sr,M,12,12,12,12,26,20,46,96,0.271,55,0.573,1,1,0,20,17,7,0,0,0,1,60,0,0,,0,0,0,0,0,0,0,0,0,0,2333228
2023,Army West Point Black Knights,4,Evan Plunkett,"Plunkett, Evan",Evan,Plunkett,Fr,M,12,11,12,11,17,20,37,59,0.288,34,0.576,0,0,0,15,12,1,0,0,0,2,120,0,0,,0,0,0,0,0,0,0,0,0,0,2823891
2023,Army West Point Black Knights,7,Ryan Sposito,"Sposito, Ryan",Ryan,Sposito,Sr,M,11,1,11,1,4,5,9,17,0.235,9,0.529,1,0,0,5,6,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2333234
2023,Army West Point Black Knights,35,Christian Mazur,"Mazur, Christian",Christian,Mazur,So,DM,11,0,11,0,1,0,1,5,0.2,2,0.4,0,0,0,15,5,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2664453
2023,Army West Point Black Knights,98,Keagan Treacy,"Treacy, Keagan",Keagan,Treacy,Fr,D,11,0,11,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,2,120,0,0,,0,0,0,0,0,0,0,0,0,0,2823890
2023,Army West Point Black Knights,19,Johnny Devino,"Devino, Johnny",Johnny,Devino,So,M,11,0,11,0,0,0,0,4,0,3,0.75,0,0,0,10,0,3,0,0,0,1,60,0,0,,0,0,0,0,0,0,0,0,0,0,2664462
2023,Army West Point Black Knights,99,John Sullivan,"Sullivan, John",John,Sullivan,Fr,D,11,10,11,10,0,0,0,0,0,0,0,0,0,0,23,3,4,0,0,0,3,150,0,0,,0,0,0,0,0,0,0,0,0,0,2823837
2023,Army West Point Black Knights,22,Cal Lambert,"Lambert, Cal",Cal,Lambert,Fr,FO,10,0,10,0,6,2,8,9,0.667,8,0.889,0,4,0,4,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2823886
2023,Army West Point Black Knights,2,Knox Dent,"Dent, Knox",Knox,Dent,Sr,GK,10,10,10,10,0,0,0,1,0,0,0,0,0,0,21,4,4,0,0,0,0,0,10,10,545:19,76,8.362,84,0.525,0,0,0,0,0,0,2333229
2023,Army West Point Black Knights,14,Avi Mehl,"Mehl, Avi",Avi,Mehl,Fr,ATT,8,0,8,0,2,2,4,12,0.167,6,0.5,1,2,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2823833
2023,Army West Point Black Knights,21,Dylan D'Agostino,"D'Agostino, Dylan",Dylan,D'Agostino,So,M,8,0,8,0,0,1,1,5,0,2,0.4,0,0,0,4,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2659264
2023,Army West Point Black Knights,11,Alex Gekas,"Gekas, Alex",Alex,Gekas,Jr,M,8,0,8,0,0,1,1,11,0,3,0.273,0,0,0,1,9,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2478890
2023,Army West Point Black Knights,60,Matt Chess,"Chess, Matt",Matt,Chess,Jr,GK,7,2,7,2,0,0,0,1,0,0,0,0,0,0,6,1,1,0,0,0,0,0,7,2,158:56,19,7.173,31,0.62,0,0,0,0,0,0,2478887
2023,Army West Point Black Knights,25,Joey Stillings,"Stillings, Joey",Joey,Stillings,Jr,LSM,7,0,7,0,2,0,2,3,0.667,2,0.667,0,0,0,1,3,2,0,0,0,3,90,0,0,,0,0,0,0,0,0,0,0,0,0,2333235
2023,Army West Point Black Knights,29,Finn McCullough,"McCullough, Finn",Finn,McCullough,So,ATT,6,0,6,0,4,1,5,10,0.4,6,0.6,0,0,0,1,4,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2664452
2023,Army West Point Black Knights,8,Deacon Donaldson,"Donaldson, Deacon",Deacon,Donaldson,Sr,D,6,3,6,3,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,1,60,0,0,,0,0,0,0,0,0,0,0,0,0,2333230
2023,Army West Point Black Knights,81,Dawson Clark,"Clark, Dawson",Dawson,Clark,Fr,ATT,6,0,6,0,3,2,5,14,0.214,11,0.786,0,0,0,3,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2823889
2023,Army West Point Black Knights,32,John Manero,"Manero, John",John,Manero,So,M,6,0,6,0,1,1,2,6,0.167,4,0.667,0,0,0,3,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2664454
2023,Army West Point Black Knights,17,Stevie Grabher,"Grabher, Stevie",Stevie,Grabher,Sr,FO,5,0,5,0,0,0,0,0,0,0,0,0,0,0,6,1,0,10,14,0.714,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2333341
2023,Army West Point Black Knights,77,Ryan Sellew,"Sellew, Ryan",Ryan,Sellew,So,ATT,4,3,4,3,3,1,4,6,0.5,6,1,0,1,0,0,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2664447
2023,Army West Point Black Knights,27,Kyle Atherton,"Atherton, Kyle",Kyle,Atherton,So,D,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2659243
2023,Army West Point Black Knights,12,Trevor Kelly,"Kelly, Trevor",Trevor,Kelly,Jr,M,4,0,4,0,1,0,1,2,0.5,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2478668
2023,Army West Point Black Knights,66,Mark Schroeder,"Schroeder, Mark",Mark,Schroeder,So,D,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2664448
2023,Army West Point Black Knights,43,Billy Adams,"Adams, Billy",Billy,Adams,So,M,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2659242
2023,Army West Point Black Knights,26,Mike Tangredi,"Tangredi, Mike",Mike,Tangredi,Jr,M,3,0,3,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2478874
