season,team,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,games,goals,assists,points,sh_att,so_g,fouls,red_cards,yellow_cards,gc,goal_app,ggs,goalie_min_plyd,ga,gaa,saves,sv_pct,combined_sho,shutouts,g_wins,g_loss,d_saves,corners,pk,pk_att,gwg
2021,A&M-Corpus Christi Islanders,19,Emma Crump,"Crump, Emma",Emma,Crump,Fr,D,19,18,1,NA,2,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2021,A&M-Corpus Christi Islanders,10,Emma Herrera,"Herrera, Emma",Emma,Herrera,So,D,19,19,NA,1,1,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,23,Reese Cross,"Cross, Reese",Reese,Cross,So,D,19,19,NA,1,1,8,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,16,Jayden Rea,"Rea, Jayden",Jayden,Rea,So,M,19,16,NA,NA,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,25,Alana Mangan,"Mangan, Alana",Alana,Mangan,Jr,D,19,4,NA,NA,0,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,2,Emma Gibbs,"Gibbs, Emma",Emma,Gibbs,Jr,M,19,19,NA,2,2,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,12,Samantha Palomino,"Palomino, Samantha",Samantha,Palomino,Jr,M,19,19,6,2,14,22,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2021,A&M-Corpus Christi Islanders,18,Reaghan Lang,"Lang, Reaghan",Reaghan,Lang,Sr,F,19,13,4,3,11,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,NA,NA
2021,A&M-Corpus Christi Islanders,8,Ellie Fox,"Fox, Ellie",Ellie,Fox,Fr,M,18,3,NA,NA,0,2,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,17,Gracie Gill,"Gill, Gracie",Gracie,Gill,Fr,M,17,9,NA,NA,0,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,21,Natalie Gonzalez,"Gonzalez, Natalie",Natalie,Gonzalez,Jr,F,17,8,NA,2,2,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,24,Maddie Janolo,"Janolo, Maddie",Maddie,Janolo,Jr,D,17,4,NA,NA,0,7,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,28,Megan Guy,"Guy, Megan",Megan,Guy,Fr,F,15,6,2,2,6,24,14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,7,Maggie Murray,"Murray, Maggie",Maggie,Murray,So,F,15,7,3,1,7,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2021,A&M-Corpus Christi Islanders,9,Storm Harris,"Harris, Storm",Storm,Harris,Fr,F,14,0,NA,NA,0,8,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,00,Morgan Westbury,"Westbury, Morgan",Morgan,Westbury,Fr,F,14,5,NA,NA,0,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,4,Carmen Cervantez,"Cervantez, Carmen",Carmen,Cervantez,Fr,M,14,0,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,26,Raegan Sharer,"Sharer, Raegan",Raegan,Sharer,Fr,D,14,0,NA,1,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,13,Olivia Alvarez,"Alvarez, Olivia",Olivia,Alvarez,So,M,14,12,1,2,4,14,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2021,A&M-Corpus Christi Islanders,1,Kennedy Stelling,"Stelling, Kennedy",Kennedy,Stelling,So,GK,10,10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,895:00,15,1.508,72,0.828,NA,2,2,6,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,42,Emily Levy,"Levy, Emily",Emily,Levy,Fr,GK,10,9,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,855:00,12,1.263,39,0.765,NA,3,4,5,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,6,Molly Arens,"Arens, Molly",Molly,Arens,So,D,8,8,NA,NA,0,9,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,5,Josie Fountain,"Fountain, Josie",Josie,Fountain,Jr,D,7,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,A&M-Corpus Christi Islanders,11,Jenna Bodron,"Bodron, Jenna",Jenna,Bodron,Fr,D,5,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Abilene Christian Wildcats,21,Hannah Gage,"Gage, Hannah",Hannah,Gage,So,D,16,14,NA,1,1,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Abilene Christian Wildcats,3,Ellen Joss,"Joss, Ellen",Ellen,Joss,Sr,D,16,16,1,NA,2,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2021,Abilene Christian Wildcats,00,Lily Foster,"Foster, Lily",Lily,Foster,Fr,GK,16,16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1489:09,26,1.571,77,0.748,NA,2,6,9,NA,NA,NA,NA,NA,NA,NA
2021,Abilene Christian Wildcats,33,Caylen Wright,"Wright, Caylen",Caylen,Wright,Jr,F,16,13,3,NA,6,17,14,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2021,Abilene Christian Wildcats,9,Natalie Jones,"Jones, Natalie",Natalie,Jones,Jr,M,16,14,4,1,9,30,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
