URL,Institution,Conference,Goals,Assists,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,Saves,Shutouts,G Wins,G Loss,DSaves,Corners,PK,PK Att
http://stats.ncaa.org/team/26172/14082,A&M-Corpus Christi,Southland,14,9,233,133,,10,,,,1599:50:00,25,79,5,,,,85,2,2
http://stats.ncaa.org/team/2/14082,Abilene Christian,Southland,32,29,376,168,,5,,,,2060:15:00,13,107,13,,,,123,0,0
http://stats.ncaa.org/team/721/14082,Air Force,Mountain West,9,7,177,165,,5,,,,1650:00:00,22,112,5,,,,63,2,4
http://stats.ncaa.org/team/5/14082,Akron,MAC,27,17,221,210,1,12,,,,1876:09:00,23,114,5,,,,90,4,4
http://stats.ncaa.org/team/8/14082,Alabama,SEC,37,32,304,202,1,9,,,,1770:00:00,26,90,6,,,1,101,0,0
http://stats.ncaa.org/team/6/14082,Alabama A&M,SWAC,21,13,177,74,3,6,,,,1655:36:00,33,88,2,,,,41,1,3
http://stats.ncaa.org/team/7/14082,Alabama St.,SWAC,24,18,163,156,,3,,,,1540:00:00,35,111,5,,,,41,0,0
http://stats.ncaa.org/team/14/14082,Albany (NY),America East,49,39,329,194,,6,,,,2110:00:00,32,78,8,,,,122,5,6
http://stats.ncaa.org/team/17/14082,Alcorn,SWAC,8,5,105,70,,9,,,,1341:20:00,87,138,,,,,17,0,0
http://stats.ncaa.org/team/23/14082,American,Patriot,24,23,237,140,,13,,,,1651:58:00,17,95,6,,,,57,1,2
http://stats.ncaa.org/team/27/14082,App State,Sun Belt,26,20,225,138,2,3,,,,1741:38:00,26,84,6,,,1,73,2,2
http://stats.ncaa.org/team/29/14082,Arizona,Pac-12,39,37,363,166,,8,,,,1965:29:00,19,73,9,,,,140,1,1
http://stats.ncaa.org/team/28/14082,Arizona St.,Pac-12,29,19,250,152,,10,,,,1659:31:00,22,68,5,,,,67,0,0
http://stats.ncaa.org/team/2678/14082,Ark.-Pine Bluff,SWAC,17,13,147,118,1,10,,,,1326:58:00,36,63,3,,,,34,1,2
http://stats.ncaa.org/team/31/14082,Arkansas,SEC,43,45,391,274,,21,,,,2198:20:00,25,91,8,,,,181,3,4
http://stats.ncaa.org/team/30/14082,Arkansas St.,Sun Belt,26,21,215,178,,10,,,,1706:35:00,21,85,4,,,,105,1,2
http://stats.ncaa.org/team/725/14082,Army West Point,Patriot,15,18,207,247,,14,,,,1963:32:00,16,110,10,,,,80,0,0
http://stats.ncaa.org/team/37/14082,Auburn,SEC,42,46,338,196,1,17,,,,1840:00:00,23,75,9,,,,101,5,5
http://stats.ncaa.org/team/43/14082,Austin Peay,OVC,22,13,231,140,2,7,,,,1555:09:00,22,67,6,,,2,81,2,2
http://stats.ncaa.org/team/47/14082,Ball St.,MAC,30,19,285,284,1,14,,,,1914:04:00,15,72,8,,,,91,4,5
http://stats.ncaa.org/team/51/14082,Baylor,Big 12,49,39,379,296,1,20,,,,2361:29:00,23,87,14,,,,123,1,1
http://stats.ncaa.org/team/14927/14082,Belmont,OVC,18,15,245,165,,11,,,,1607:52:00,30,76,4,,,3,57,2,3
http://stats.ncaa.org/team/62/14082,Binghamton,America East,21,14,218,178,,6,,,,1664:25:00,24,59,7,,,,69,0,0
http://stats.ncaa.org/team/66/14082,Boise St.,Mountain West,33,26,282,211,1,12,,,,1793:15:00,17,75,10,,,,84,3,3
http://stats.ncaa.org/team/67/14082,Boston College,ACC,44,36,319,193,,11,,,,1827:00:00,16,53,10,,,,119,4,5
http://stats.ncaa.org/team/68/14082,Boston U.,Patriot,26,24,337,146,,5,,,,2100:13:00,19,76,12,,,,118,1,1
http://stats.ncaa.org/team/71/14082,Bowling Green,MAC,43,37,370,242,,12,,,,2060:56:00,17,86,9,,,,107,3,3
http://stats.ncaa.org/team/80/14082,Brown,Ivy League,29,31,269,183,,3,,,,1557:04:00,20,65,5,,,,104,2,3
http://stats.ncaa.org/team/81/14082,Bryant,NEC,19,14,188,103,,4,,,,1463:06:00,18,70,5,,,,46,0,0
