school,playerstatsurl,matchstatsurl
Air Force,https://stats.ncaa.org/team/721/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=721&game_sport_year_ctl_id=16320&stats_player_seq=-100
Bellarmine,https://stats.ncaa.org/team/52/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=52&game_sport_year_ctl_id=16320&stats_player_seq=-100
Bucknell,https://stats.ncaa.org/team/83/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=83&game_sport_year_ctl_id=16320&stats_player_seq=-100
Denver,https://stats.ncaa.org/team/183/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=183&game_sport_year_ctl_id=16320&stats_player_seq=-100
Detroit Mercy,https://stats.ncaa.org/team/184/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=184&game_sport_year_ctl_id=16320&stats_player_seq=-100
Duke,https://stats.ncaa.org/team/193/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=193&game_sport_year_ctl_id=16320&stats_player_seq=-100
Hofstra,https://stats.ncaa.org/team/283/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=283&game_sport_year_ctl_id=16320&stats_player_seq=-100
Holy Cross,https://stats.ncaa.org/team/285/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=285&game_sport_year_ctl_id=16320&stats_player_seq=-100
Jacksonville,https://stats.ncaa.org/team/316/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=316&game_sport_year_ctl_id=16320&stats_player_seq=-100
Johns Hopkins,https://stats.ncaa.org/team/322/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=322&game_sport_year_ctl_id=16320&stats_player_seq=-100
Lafayette,https://stats.ncaa.org/team/342/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=342&game_sport_year_ctl_id=16320&stats_player_seq=-100
Lindenwood,https://stats.ncaa.org/team/30136/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=30136&game_sport_year_ctl_id=16320&stats_player_seq=-100
Marist,https://stats.ncaa.org/team/386/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=386&game_sport_year_ctl_id=16320&stats_player_seq=-100
Marquette,https://stats.ncaa.org/team/387/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=387&game_sport_year_ctl_id=16320&stats_player_seq=-100
Maryland,https://stats.ncaa.org/team/392/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=392&game_sport_year_ctl_id=16320&stats_player_seq=-100
Mercer,https://stats.ncaa.org/team/406/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=406&game_sport_year_ctl_id=16320&stats_player_seq=-100
Merrimack,https://stats.ncaa.org/team/410/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=410&game_sport_year_ctl_id=16320&stats_player_seq=-100
Mount St. Mary's,https://stats.ncaa.org/team/450/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=450&game_sport_year_ctl_id=16320&stats_player_seq=-100
Navy,https://stats.ncaa.org/team/726/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=726&game_sport_year_ctl_id=16320&stats_player_seq=-100
Ohio St.,https://stats.ncaa.org/team/518/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=518&game_sport_year_ctl_id=16320&stats_player_seq=-100
Penn St.,https://stats.ncaa.org/team/539/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=539&game_sport_year_ctl_id=16320&stats_player_seq=-100
Providence,https://stats.ncaa.org/team/556/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=556&game_sport_year_ctl_id=16320&stats_player_seq=-100
Queens (NC),https://stats.ncaa.org/team/11504/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=11504&game_sport_year_ctl_id=16320&stats_player_seq=-100
Richmond,https://stats.ncaa.org/team/575/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=575&game_sport_year_ctl_id=16320&stats_player_seq=-100
Rutgers,https://stats.ncaa.org/team/587/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=587&game_sport_year_ctl_id=16320&stats_player_seq=-100
Syracuse,https://stats.ncaa.org/team/688/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=688&game_sport_year_ctl_id=16320&stats_player_seq=-100
Utah,https://stats.ncaa.org/team/732/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=732&game_sport_year_ctl_id=16320&stats_player_seq=-100
VMI,https://stats.ncaa.org/team/741/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=741&game_sport_year_ctl_id=16320&stats_player_seq=-100
Vermont,https://stats.ncaa.org/team/738/stats/16320,https://stats.ncaa.org/player/game_by_game?org_id=738&game_sport_year_ctl_id=16320&stats_player_seq=-100
